# Note - Full 9 minute fly of continous maneuvers. Snakes, Wall, Diamond Loops, piro-flips, funnels, piro circles, piro-flip circles, aileron tic-tocs, elevator tic-tocs, continous forward flips, and many combo maneuvers. Motor temperature at end of flight was 125F. Battery was 101F.
# Graph Data - 1 Sessions - Saved Wednesday, September 29, 2010
# Start Of Session - Sample Time: 0.200
# Reset Source (Cause of reset):  Normal Boot-up Sequence
# Idle Times: 
Throttle    , Power-Out   , Voltage     , Ripple      , Current     , Temperature , Speed       
True        , True        , True        , True        , True        , True        , True        
1.7852      , 86.667      , 40.57       , 1.057       , 23.6        , 95.0        , 95853       
1.7852      , 86.667      , 40.57       , 1.057       , 22.8        , 95.0        , 95853       
1.7852      , 86.667      , 40.57       , 0.845       , 22.8        , 95.0        , 95853       
1.7852      , 87.059      , 40.57       , 1.057       , 22.8        , 92.6        , 95853       
1.7852      , 87.059      , 40.57       , 1.057       , 22.8        , 98.2        , 95853       
1.7852      , 87.059      , 40.57       , 1.057       , 22.8        , 93.4        , 95405       
1.7774      , 86.275      , 40.57       , 1.057       , 22.8        , 95.0        , 95405       
1.7774      , 86.275      , 40.36       , 1.057       , 22.8        , 95.0        , 95853       
1.7852      , 86.275      , 40.57       , 1.057       , 22.0        , 89.5        , 95853       
1.7852      , 87.451      , 40.36       , 0.845       , 22.8        , 95.0        , 94961       
1.7931      , 88.235      , 40.36       , 1.268       , 26.9        , 95.0        , 94086       
1.8087      , 89.804      , 39.94       , 1.479       , 35.0        , 95.0        , 92383       
1.8166      , 90.588      , 39.94       , 2.113       , 48.9        , 95.0        , 90339       
1.8166      , 90.588      , 39.72       , 2.324       , 58.6        , 95.0        , 88384       
1.8166      , 90.588      , 39.72       , 2.113       , 61.1        , 95.0        , 89547       
1.7931      , 89.020      , 39.94       , 1.690       , 54.6        , 95.8        , 91146       
1.7852      , 87.451      , 40.36       , 0.845       , 39.9        , 95.8        , 96761       
1.7931      , 87.451      , 40.36       , 0.845       , 22.8        , 91.8        , 96761       
1.7931      , 87.843      , 40.36       , 1.057       , 22.0        , 96.6        , 96305       
1.7852      , 87.059      , 40.36       , 0.845       , 22.0        , 97.4        , 96761       
1.7852      , 87.059      , 40.36       , 0.845       , 21.2        , 96.6        , 97687       
1.7852      , 87.059      , 40.36       , 0.000       , 18.7        , 97.4        , 99110       
1.7852      , 86.667      , 40.57       , 0.423       , 17.1        , 92.6        , 100575      
1.7774      , 85.490      , 40.57       , 0.423       , 17.1        , 92.6        , 101073      
1.7696      , 85.098      , 40.57       , 0.634       , 13.8        , 97.4        , 100575      
1.7774      , 86.275      , 40.57       , 0.634       , 13.8        , 99.9        , 99110       
1.7852      , 87.451      , 40.57       , 0.845       , 15.5        , 99.9        , 97687       
1.7931      , 87.843      , 40.36       , 1.057       , 21.2        , 97.4        , 95853       
1.7931      , 87.451      , 40.15       , 0.845       , 24.4        , 96.6        , 94086       
1.7931      , 88.235      , 40.15       , 1.268       , 26.1        , 97.4        , 94086       
1.7931      , 88.235      , 40.15       , 1.268       , 31.0        , 96.6        , 93227       
1.7931      , 88.235      , 40.15       , 1.057       , 33.4        , 96.6        , 92803       
1.8009      , 88.627      , 39.94       , 1.268       , 35.0        , 96.6        , 92383       
1.8009      , 88.627      , 39.94       , 1.268       , 38.3        , 96.6        , 91967       
1.7852      , 87.059      , 40.15       , 1.268       , 35.8        , 97.4        , 91967       
1.7696      , 85.098      , 40.15       , 1.057       , 29.3        , 97.4        , 92383       
1.7852      , 86.275      , 40.15       , 1.268       , 26.9        , 97.4        , 92383       
1.7931      , 87.451      , 40.15       , 1.268       , 30.1        , 97.4        , 92383       
1.7931      , 87.843      , 39.94       , 1.690       , 34.2        , 97.4        , 91146       
1.7931      , 87.843      , 39.94       , 1.479       , 37.5        , 97.4        , 91146       
1.7931      , 87.843      , 39.94       , 1.479       , 38.3        , 97.4        , 91146       
1.7931      , 87.843      , 39.94       , 1.479       , 37.5        , 97.4        , 91146       
1.7931      , 87.843      , 39.72       , 1.479       , 38.3        , 97.4        , 90741       
1.7931      , 87.843      , 39.72       , 1.902       , 39.9        , 97.4        , 89941       
1.7931      , 87.451      , 39.94       , 1.479       , 39.9        , 98.2        , 90339       
1.7852      , 87.059      , 39.94       , 1.268       , 36.7        , 98.2        , 91967       
1.7852      , 86.667      , 40.15       , 0.845       , 29.3        , 99.1        , 93654       
1.7852      , 86.667      , 40.15       , 0.845       , 24.4        , 91.8        , 95405       
1.7774      , 85.490      , 40.36       , 0.845       , 22.8        , 84.9        , 97222       
1.7696      , 85.490      , 40.36       , 0.845       , 17.9        , 99.1        , 97687       
1.7774      , 85.882      , 40.36       , 1.057       , 17.1        , 100.7       , 97687       
1.7852      , 86.667      , 40.36       , 0.845       , 17.1        , 98.2        , 97222       
1.7852      , 86.667      , 40.15       , 0.845       , 17.9        , 88.7        , 96761       
1.7852      , 86.667      , 40.15       , 0.845       , 20.4        , 99.1        , 95853       
1.7852      , 87.059      , 40.15       , 1.057       , 22.0        , 99.1        , 94961       
1.7931      , 87.451      , 40.15       , 1.057       , 24.4        , 98.2        , 93654       
1.7852      , 87.451      , 39.94       , 1.268       , 26.9        , 99.1        , 93227       
1.7931      , 87.451      , 39.94       , 1.057       , 27.7        , 99.1        , 93227       
1.7931      , 87.843      , 39.94       , 1.057       , 28.5        , 99.1        , 93227       
1.7931      , 88.235      , 39.94       , 1.057       , 29.3        , 99.1        , 93227       
1.7931      , 88.235      , 39.94       , 1.057       , 31.0        , 99.1        , 93227       
1.7931      , 87.451      , 40.15       , 1.057       , 31.0        , 94.2        , 93654       
1.7852      , 87.059      , 39.94       , 1.057       , 26.9        , 101.6       , 94086       
1.7774      , 85.882      , 40.15       , 1.057       , 23.6        , 99.1        , 94522       
1.7696      , 85.098      , 40.15       , 1.268       , 22.0        , 99.1        , 94522       
1.7774      , 86.275      , 40.15       , 1.057       , 22.0        , 99.1        , 94522       
1.7852      , 86.275      , 40.15       , 1.057       , 22.8        , 99.1        , 94086       
1.7852      , 86.667      , 39.94       , 1.057       , 24.4        , 101.6       , 93654       
1.7852      , 87.451      , 39.94       , 1.057       , 27.7        , 99.1        , 92383       
1.7931      , 88.235      , 39.94       , 1.268       , 30.1        , 99.1        , 92383       
1.7931      , 88.235      , 39.94       , 1.268       , 32.6        , 99.1        , 92803       
1.8009      , 88.627      , 39.94       , 1.479       , 32.6        , 99.1        , 92803       
1.8009      , 89.020      , 39.72       , 1.268       , 34.2        , 99.1        , 92383       
1.8009      , 89.020      , 39.72       , 1.479       , 37.5        , 99.1        , 91555       
1.7931      , 88.235      , 39.51       , 1.268       , 39.1        , 99.1        , 91555       
1.7852      , 87.059      , 39.94       , 1.268       , 34.2        , 99.1        , 91967       
1.7774      , 86.275      , 39.94       , 1.057       , 26.9        , 99.9        , 94086       
1.7774      , 85.882      , 40.15       , 0.845       , 22.0        , 100.7       , 95853       
1.7774      , 85.882      , 40.15       , 0.845       , 19.5        , 99.9        , 96305       
1.7774      , 85.882      , 40.15       , 0.845       , 18.7        , 99.9        , 96305       
1.7774      , 85.882      , 40.15       , 0.845       , 17.9        , 93.4        , 97222       
